Port,Commodity,Customs Value (Gen) ($US),Vessel Customs Value (Gen) ($US),Vessel SWT (Gen) (kg),Air Customs Value (Gen) ($US),Air SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US),Containerized Vessel SWT (Gen) (kg)
"New Orleans, LA (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",350904,321276,101090,29628,8634,321276,101090
"New Orleans, LA (Port)","0713 Leguminous Vegetables, Dried Shelled",500320,491421,626569,8899,2321,487289,580589
"New Orleans, LA (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",116090,116090,15967,,,116090,15967
"New Orleans, LA (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",8266294,8266294,16811502,,,8266294,16811502
"New Orleans, LA (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",61155,16155,18705,45000,5580,16155,18705
"New Orleans, LA (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,759989253,759986171,211686283,3082,1,759557749,211607434
"New Orleans, LA (Port)","0902 Tea, Whether Or Not Flavored",14053573,13969236,7435208,84337,3780,13969236,7435208
"New Orleans, LA (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",11546390,11498959,7457729,47431,13082,11498959,7457729
"New Orleans, LA (Port)",0905 Vanilla,16003,,,16003,376,,
"New Orleans, LA (Port)","0907 Cloves (whole Fruit, Cloves And Stems)",4314,,,4314,60,,
"New Orleans, LA (Port)","0908 Nutmeg, Mace And Cardamoms",2083,,,2083,29,,
"New Orleans, LA (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",274427,7034,14925,267393,8834,7034,14925
"New Orleans, LA (Port)",1001 Wheat And Meslin,8973,,,8973,1,,
"New Orleans, LA (Port)",1004 Oats,4500,,,4500,180,,
"New Orleans, LA (Port)",1005 Corn (maize),17106447,16979410,43000000,127037,43959,,
"New Orleans, LA (Port)",1006 Rice,645246,645246,779823,,,645246,779823
"New Orleans, LA (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",37201,37201,12145,,,37201,12145
"New Orleans, LA (Port)",1101 Wheat Or Meslin Flour,24345,24345,39720,,,24345,39720
"New Orleans, LA (Port)","1103 Cereal Groats, Meal And Pellets",78035,78035,119160,,,78035,119160
"New Orleans, LA (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",4600,,,4600,300,,
"New Orleans, LA (Port)","1107 Malt, Whether Or Not Roasted",33705,33705,39390,,,33705,39390
"New Orleans, LA (Port)",1108 Starches; Inulin,31450,14200,20180,17250,246,14200,20180
"New Orleans, LA (Port)","1206 Sunflower Seeds, Whether Or Not Broken",47323,,,47323,362,,
"New Orleans, LA (Port)","1207 Oil Seeds & Oleaginous Fruits Nesoi, Broken Or Not",3674115,,,3674115,2416,,
"New Orleans, LA (Port)","1209 Seeds, Fruit And Spores, For Sowing",70665773,9837,1518,70655936,177595,9837,1518
"New Orleans, LA (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",9166,,,9166,880,,
"New Orleans, LA (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",558732,,,558732,7226,,
"New Orleans, LA (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",191417,,,191417,12522,,
"New Orleans, LA (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",57871,,,57871,422,,
"New Orleans, LA (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,12713924,,,12713924,162815,,
"New Orleans, LA (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",6105,,,6105,1777,,
"New Orleans, LA (Port)",1404 Vegetable Products Nesoi,47948,,,47948,1397,,
"New Orleans, LA (Port)","1501 Pig Fat And Poultry Fat Other Than Head 0209, 1503",2629,,,2629,13,,
"New Orleans, LA (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",167061,,,167061,8242,,
"New Orleans, LA (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,3904,,,3904,8,,
"New Orleans, LA (Port)",1506 Animal Fat & Oil & Fraction Nesoi Nt Chem Modified,3457,,,3457,414,,
"New Orleans, LA (Port)","1508 Peanut Oil & Its Fractions, Not Chemicaly Modified",6252945,6245096,3003450,7849,3,,
"New Orleans, LA (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",1929706,1808309,641718,121397,5580,608466,228600
"New Orleans, LA (Port)","1511 Palm Oil & Its Fractions, Not Chemically Modified",574847985,574845291,548105784,2694,32,22832155,23213050
"New Orleans, LA (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",10213097,10210655,6068557,2442,37,,
"New Orleans, LA (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",231610685,231610685,189973919,,,15848469,13747592
"New Orleans, LA (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",4652,,,4652,26,,
"New Orleans, LA (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",3077572,2425092,1637833,652480,99524,739412,493240
"New Orleans, LA (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",59140,54300,28657,4840,32,54300,28657
"New Orleans, LA (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,27316,,,27316,171,,
"New Orleans, LA (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,57784,57784,33360,,,57784,33360
"New Orleans, LA (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",945000,945000,3000000,,,,
"New Orleans, LA (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",30325,,,30325,345,,
"New Orleans, LA (Port)","1602 Prepared Or Preserv Meat, Meat Offal & Blood Nesoi",429668,,,429668,75783,,
"New Orleans, LA (Port)",1604 Prep Or Pres Fish; Caviar & Caviar Substitutes,67736,61050,19000,6686,440,61050,19000
"New Orleans, LA (Port)","1605 Crustaceans, Molluscs Etc. Prepared Or Preserved",362138,362138,41976,,,362138,41976
"New Orleans, LA (Port)","1701 Cane Or Beet Sugar & Chem Pure Sucrose, Solid Form",2517,,,2517,82,,
"New Orleans, LA (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",4475303,4468479,14956100,6824,59,,
"New Orleans, LA (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,21219384,21219384,163787004,,,,
"New Orleans, LA (Port)","1704 Sugar Confection (incl White Chocolate), No Cocoa",166287,138408,63077,27879,998,138408,63077
"New Orleans, LA (Port)","1804 Cocoa Butter, Fat And Oil",10450,,,10450,161,,
"New Orleans, LA (Port)",1806 Chocolate & Other Food Products Containing Cocoa,333988,251119,74949,82869,5456,251119,74949
"New Orleans, LA (Port)",1901 Malt Ext; Food Prep Of Flour Etc Un 40% Cocoa Etc,18100,,,18100,345,,
"New Orleans, LA (Port)","1902 Pasta, Prepared Or Not; Couscous, Prepared Or Not",129302,129302,115633,,,129302,115633
"New Orleans, LA (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",15185,15185,8234,,,15185,8234
"New Orleans, LA (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",1981547,1253940,364846,727607,34335,1207908,356988
"New Orleans, LA (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",798256,798256,651370,,,798256,651370
"New Orleans, LA (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,18778,18778,18537,,,18778,18537
"New Orleans, LA (Port)",2003 Mushrooms And Truffles Prepared Or Preserved Nesoi,2998,,,2998,3,,
"New Orleans, LA (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",895300,895300,1334639,,,895300,1334639
"New Orleans, LA (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",1334469,1334469,1290988,,,1332466,1290201
"New Orleans, LA (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",12110,12110,14763,,,12110,14763
"New Orleans, LA (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",1022400,761561,1147893,260839,22343,761561,1147893
"New Orleans, LA (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,12422,,,12422,4030,,
"New Orleans, LA (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",68308473,61332215,8954130,6976258,81487,61332215,8954130
"New Orleans, LA (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,343059,,,343059,16008,,
"New Orleans, LA (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",768200,305500,214325,462700,60409,305500,214325
"New Orleans, LA (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",186092,186092,96148,,,186092,96148
"New Orleans, LA (Port)",2106 Food Preparations Nesoi,6164268,134545,69111,6029723,79312,134545,69111
"New Orleans, LA (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",33152,17653,42464,15499,1033,17653,42464
"New Orleans, LA (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",86355,86355,142376,,,86355,142376
"New Orleans, LA (Port)",2203 Beer Made From Malt,2843420,2843420,2814458,,,2843420,2814458
"New Orleans, LA (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,24438517,23869415,8664141,569102,39005,23869415,8664141
"New Orleans, LA (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,169191,169191,45048,,,169191,45048
"New Orleans, LA (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",1464485,1464485,844149,,,1464485,844149
"New Orleans, LA (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",75490682,75398243,10738351,87670,20131,75398243,10738351
"New Orleans, LA (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,5027,,,5027,132,,
"New Orleans, LA (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",1764000,1764000,8400000,,,,
"New Orleans, LA (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",9667,,,9667,3,,
"New Orleans, LA (Port)",2309 Preparations Used In Animal Feeding,180549,,,180549,15303,,
"New Orleans, LA (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",263278,263278,65380,,,263278,65380
"New Orleans, LA (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",94676,48600,3200,46076,730,48600,3200
"New Orleans, LA (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,6836,,,6836,585,,
"New Orleans, LA (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,64413,,,64413,2893,,
"New Orleans, LA (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,24384,,,24384,230,,
"New Orleans, LA (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),49546,,,49546,763,,
"New Orleans, LA (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",862710,,,862710,15759,,
"New Orleans, LA (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",200672,,,200672,1528,,
"New Orleans, LA (Port)","4106 Other Animal N Leather, No Hair Nesoi",135700,,,135700,4082,,
"New Orleans, LA (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",11512372,5512490,188368,5999882,140985,5512490,188368
"New Orleans, LA (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",1033934,,,1033934,19695,,
"New Orleans, LA (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",489876,,,489876,14845,,
"New Orleans, LA (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,664786,,,664786,18431,,
"New Orleans, LA (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",455110,,,455110,42653,,
"New Orleans, LA (Port)","5101 Wool, Not Carded Or Combed",61164,,,61164,580,,
"New Orleans, LA (Port)","5102 Fine Or Coarse Animal Hair, Not Carded Or Combed",11756,,,11756,619,,
"New Orleans, LA (Port)",5103 Waste Of Wool Or Of Fine Or Coarse Animal Hair,1013,,,1013,48,,
"New Orleans, LA (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",184574,,,184574,4725,,
"New Orleans, LA (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",346494,,,346494,18664,,
"New Orleans, LA (Port)","5107 Yarn Of Combed Wool, Not Put Up For Retail Sale",202601,,,202601,4598,,
"New Orleans, LA (Port)","5108 Yarn Of Fine Animal Hair, Not For Retail Sale",312482,,,312482,2208,,
"New Orleans, LA (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",487260,,,487260,11121,,
"New Orleans, LA (Port)",5110 Yarn Coarse Animal Hair Put Up Or Not Retail Sale,1556,,,1556,40,,
"New Orleans, LA (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,4125031,,,4125031,63734,,
"New Orleans, LA (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,5541892,,,5541892,84270,,
"New Orleans, LA (Port)",5113 Woven Fabrics Of Coarse Animal Hair Or Horsehair,109130,,,109130,1026,,
"New Orleans, LA (Port)",5202 Cotton Waste (including Yarn Waste Etc.),40956,,,40956,18088,,
"New Orleans, LA (Port)","5203 Cotton, Carded Or Combed",19980,,,19980,388,,
"New Orleans, LA (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",1008183,,,1008183,18878,,
"New Orleans, LA (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,75038,,,75038,1966,,
"New Orleans, LA (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,27075,,,27075,640,,
"New Orleans, LA (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,105149,,,105149,2825,,
"New Orleans, LA (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",2337492,4092,226,2333400,36371,4092,226
"New Orleans, LA (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",4446226,512144,66114,3934082,109154,512144,66114
"New Orleans, LA (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",570652,2062,203,568590,7428,2062,203
"New Orleans, LA (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",2806291,,,2806291,58007,,
"New Orleans, LA (Port)",5212 Woven Cotton Fabrics Nesoi,2726593,,,2726593,57055,,
"New Orleans, LA (Port)","5301 Flax, Raw Etc But Not Spun; Flax Tow And Waste",5843,,,5843,57,,
"New Orleans, LA (Port)","5302 True Hemp, Raw Etc Not Spun; Tr Hemp Tow And Waste",1254,,,1254,38,,
"New Orleans, LA (Port)","5303 Jute & Oth Text Bast Fib Nesoi, Raw Etc & Tow Etc",8243,,,8243,169,,
"New Orleans, LA (Port)","5305 Coconut, Abaca, Ramie Etc Nesoi, Raw Etc; Tow Etc",7020,6401,18030,619,28,6401,18030
"New Orleans, LA (Port)",5306 Flax Yarn,262314,,,262314,5006,,
"New Orleans, LA (Port)",5307 Yarn Of Jute & Other Textile Bast Fibers Nesoi,47710,42191,43784,5519,387,42191,43784
"New Orleans, LA (Port)",5308 Yarn Of Vegetable Textile Fibers Nesoi; Paper Yarn,27814,,,27814,721,,
"New Orleans, LA (Port)",5309 Woven Fabrics Of Flax,12083510,,,12083510,198161,,
"New Orleans, LA (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,149887,26830,16601,123057,2261,25290,16389
"New Orleans, LA (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,541848,119738,49375,422110,5104,119738,49375
"Albany, NY (Port)","1702 Sugars Nesoi, Incl Chem Pure Lactose Etc; Caramel",7964,,,,,,
"Albany, NY (Port)",1703 Molasses From The Extraction Or Refining Of Sugar,1377402,1377402,9724466,,,,
"Albany, NY (Port)",2106 Food Preparations Nesoi,10958,,,,,,
"Albany, NY (Port)",5202 Cotton Waste (including Yarn Waste Etc.),473,,,,,,
"JFK International Airport, NY (Port)","0101 Horses, Asses, Mules And Hinnies, Live",139944035,,,139944035,1239493,,
"JFK International Airport, NY (Port)","0103 Swine, Live",14300,,,14300,2450,,
"JFK International Airport, NY (Port)","0106 Animals, Live, Nesoi",11622612,,,11545477,106716,,
"JFK International Airport, NY (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",800981,,,800981,56661,,
"JFK International Airport, NY (Port)","0202 Meat Of Bovine Animals, Frozen",86476,,,86476,12070,,
"JFK International Airport, NY (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",3453156,,,3453156,297632,,
"JFK International Airport, NY (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",258058,,,258058,14748,,
"JFK International Airport, NY (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",997735,,,997735,44743,,
"JFK International Airport, NY (Port)","0301 Fish, Live",5335143,,,5335143,540811,,
"JFK International Airport, NY (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",98569639,,,98569639,13955439,,
"JFK International Airport, NY (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",1006446,,,1006446,184871,,
"JFK International Airport, NY (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",117506465,,,117506465,16383457,,
"JFK International Airport, NY (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",1040847,,,1040847,76326,,
"JFK International Airport, NY (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,7122467,,,7122467,726700,,
"JFK International Airport, NY (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,437524,,,437524,30948,,
"JFK International Airport, NY (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,373568,,,373568,15184,,
"JFK International Airport, NY (Port)","0402 Milk And Cream, Concentrated Or Sweetened",252864,,,252864,19936,,
"JFK International Airport, NY (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",167805,,,167805,3058,,
"JFK International Airport, NY (Port)",0405 Butter And Other Fats And Oils Derived From Milk,66180,,,66180,21600,,
"JFK International Airport, NY (Port)",0406 Cheese And Curd,6638733,,,6638733,976997,,
"JFK International Airport, NY (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",431010,,,431010,30149,,
"JFK International Airport, NY (Port)","0409 Honey, Natural",34623,,,34623,7713,,
"JFK International Airport, NY (Port)","0410 Edible Products Of Animal Origin, Nesoi",1996408,,,1984286,12100,,
"JFK International Airport, NY (Port)","0501 Human Hair, Unworked And Waste Of Human Hair",134495,,,134495,312,,
"JFK International Airport, NY (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,249108,,,249108,1203,,
"JFK International Airport, NY (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",12840,,,12840,3875,,
"JFK International Airport, NY (Port)",0505 Bird Skins & Other Feathered Parts And Down,501055,,,497705,6446,,
"JFK International Airport, NY (Port)","0507 Ivory, Tortoise-shell, Whalebone, Horns Etc, Unwrk",27373,,,27373,485,,
"JFK International Airport, NY (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",108468,,,108468,11396,,
"JFK International Airport, NY (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",19124,,,19124,35,,
"JFK International Airport, NY (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",2301552,,,2301552,81910,,
"JFK International Airport, NY (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",996329,,,996329,138519,,
"JFK International Airport, NY (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",2165175,,,2165175,101198,,
"JFK International Airport, NY (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",31388080,,,31388080,4832756,,
"JFK International Airport, NY (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",1090563,,,1090563,120602,,
"JFK International Airport, NY (Port)","0702 Tomatoes, Fresh Or Chilled",385520,,,385520,159616,,
"JFK International Airport, NY (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",76349,,,76349,7958,,
"JFK International Airport, NY (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",144204,,,144204,77092,,
"JFK International Airport, NY (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",25744,,,25744,10598,,
"JFK International Airport, NY (Port)","0707 Cucumbers And Gherkins, Fresh Or Chilled",2594705,,,2594705,2213960,,
"JFK International Airport, NY (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",769919,,,769919,385160,,
"JFK International Airport, NY (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",26844981,,,26844981,9235959,,
"JFK International Airport, NY (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",150631,,,150631,57741,,
"JFK International Airport, NY (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",610720,,,610720,144703,,
"JFK International Airport, NY (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",1878378,,,1878378,1192370,,
"JFK International Airport, NY (Port)","0802 Nuts Nesoi, Fresh Or Dried",805480,,,805480,363847,,
"JFK International Airport, NY (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",4214,,,4214,347,,
"JFK International Airport, NY (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",1069707,,,1069707,223392,,
"JFK International Airport, NY (Port)","0805 Citrus Fruit, Fresh Or Dried",1001792,,,1001792,71958,,
"JFK International Airport, NY (Port)","0806 Grapes, Fresh Or Dried",8793,,,8793,2719,,
"JFK International Airport, NY (Port)","0807 Melons And Papayas, Fresh",983814,,,965714,363786,,
"JFK International Airport, NY (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",1837683,,,1837683,595917,,
"JFK International Airport, NY (Port)","0810 Fruit Nesoi, Fresh",5735095,,,5735095,1460330,,
"JFK International Airport, NY (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",71120,,,71120,22894,,
"JFK International Airport, NY (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,181254,,,181254,16395,,
"JFK International Airport, NY (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",6432,,,6432,3480,,
"JFK International Airport, NY (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,2480630,,,2480630,235622,,
"JFK International Airport, NY (Port)","0902 Tea, Whether Or Not Flavored",1266320,,,1266320,127763,,
"JFK International Airport, NY (Port)",0903 Mate,104364,,,104364,9476,,
"JFK International Airport, NY (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",133074,,,133074,42451,,
"JFK International Airport, NY (Port)",0905 Vanilla,590158,,,590158,24710,,
"JFK International Airport, NY (Port)",0906 Cinnamon And Cinnamon-tree Flowers,19805,,,19805,3649,,
"JFK International Airport, NY (Port)","0907 Cloves (whole Fruit, Cloves And Stems)",9167,,,9167,565,,
"JFK International Airport, NY (Port)","0908 Nutmeg, Mace And Cardamoms",101723,,,101723,6048,,
"JFK International Airport, NY (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,24307,,,24307,6453,,
"JFK International Airport, NY (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",5933455,,,5933455,303215,,
"JFK International Airport, NY (Port)",1005 Corn (maize),25920,,,25920,8836,,
"JFK International Airport, NY (Port)",1006 Rice,50474,,,50474,41555,,
"JFK International Airport, NY (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",2910,,,2910,1845,,
"JFK International Airport, NY (Port)",1101 Wheat Or Meslin Flour,6990,,,6990,3071,,
"JFK International Airport, NY (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",27183,,,27183,16079,,
"JFK International Airport, NY (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",88021,,,88021,44461,,
"JFK International Airport, NY (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",64461,,,64461,29781,,
"JFK International Airport, NY (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",105607,,,105607,10516,,
"JFK International Airport, NY (Port)",1108 Starches; Inulin,29525,,,29525,5311,,
"JFK International Airport, NY (Port)","1109 Wheat Gluten, Whether Or Not Dried",30805,,,30805,5060,,
"JFK International Airport, NY (Port)","1204 Flaxseed (linseed), Whether Or Not Broken",20258,,,20258,315,,
"JFK International Airport, NY (Port)","1206 Sunflower Seeds, Whether Or Not Broken",2360,,,2360,41,,
"JFK International Airport, NY (Port)",1208 Flour & Meal Of Oil Seed & Olea Fruit (no Mustard),3060,,,3060,2547,,
"JFK International Airport, NY (Port)","1209 Seeds, Fruit And Spores, For Sowing",3852346,,,3852346,18321,,
"JFK International Airport, NY (Port)","1210 Hop Cones, Fresh Or Dried; Lupulin",19656,,,19656,1581,,
"JFK International Airport, NY (Port)","1211 Plants Etc For Pharmacy, Perfume, Insecticides Etc",4683354,,,4683354,270639,,
"JFK International Airport, NY (Port)","1212 Locust Beans, Seaweed, S Beet & Cane; Fr Pits Etc.",378619,,,378619,30247,,
"JFK International Airport, NY (Port)","1301 Lac; Natural Gums, Resins, Gum-resins And Balsams",347750,,,347750,5624,,
"JFK International Airport, NY (Port)",1302 Veg Saps & Extracts; Pectates Etc; Agar-agar Etc.,113260119,,,113256519,1240842,,
"JFK International Airport, NY (Port)","1401 Vegetable Plaiting Materials (bamboos, Reeds Etc.)",25952,,,25952,1292,,
"JFK International Airport, NY (Port)",1404 Vegetable Products Nesoi,410521,,,410521,13134,,
"JFK International Airport, NY (Port)","1504 Fats & Oils, Their Fractions, Fish & Marine Mammal",694569,,,694569,19707,,
"JFK International Airport, NY (Port)",1505 Wool Grease & Fatty Substances Derived Therefrom,446677,,,446677,17561,,
"JFK International Airport, NY (Port)",1506 Animal Fat & Oil & Fraction Nesoi Nt Chem Modified,11475,,,11475,94,,
"JFK International Airport, NY (Port)","1509 Olive Oil & Its Fractions, Not Chemically Modified",525577,,,525577,90405,,
"JFK International Airport, NY (Port)",1510 Olive-residue Oil & Blends (1509&1510) Nt Chem Mod,43648,,,43648,13130,,
"JFK International Airport, NY (Port)","1512 Sunfl-seed, Safflow Or Cottonsd Oil Etc, No Ch Mod",6404,,,6404,2332,,
"JFK International Airport, NY (Port)","1513 Coconut, Palm Kernel Or Babassu Oil Etc, No Ch Mod",111368,,,111368,3771,,
"JFK International Airport, NY (Port)","1514 Rapeseed, Colza Or Mustard Oil Etc, Not Chem Modif",11921,,,11921,3796,,
"JFK International Airport, NY (Port)","1515 Fixed Veg Fats & Oils Nesoi Etc, Not Chem Modified",2295687,,,2295687,110481,,
"JFK International Airport, NY (Port)","1516 An Or Veg Fats & Oils, Hydrogen Etc, Not Fur Prep",397091,,,397091,19914,,
"JFK International Airport, NY (Port)",1517 Margarine; Edible Mixtures Etc An Or Veg Fat & Oil,69271,,,69271,2735,,
"JFK International Airport, NY (Port)",1518 Anml/veg Fats & Oils Chem Modified; Inedbl Mxt Etc,3875,,,3875,150,,
"JFK International Airport, NY (Port)","1520 Glycerol (glycerine), Glycerol Waters And Lyes",3223,,,3223,82,,
"JFK International Airport, NY (Port)","1521 Veg Waxes Nesoi, Beeswax Etc And Spermaceti",58683,,,58683,3848,,
